parameter,value,se_sa,rse_sa
ka_pop,21.7625947017153,2.19350762287795,10.0792559570347
kLP_pop,1.30549807996235,0.235009490164646,18.0015194025733
kCl_pop,19.0390726155475,0.511621198361689,2.68721701257599
kPL_pop,325718679.575645,21288448.0401711,6.53583886189958
Vol_pop,133944.102339972,3878.58468392387,2.89567410297722
alpha_pop,-1.01304266856019,0.00441471465785004,0.435787632136417
omega_ka,0.162639219338495,0.0675611487995961,41.5405023919745
omega_kLP,0.0708194555795105,0.0726178381150142,102.539390511813
omega_kCl,0.0169177214200511,0.0353235481998711,208.796133491152
omega_kPL,0.0387056241582667,0.078727603534038,203.40094042179
omega_Vol,0.0197623759586517,nan,nan
omega_alpha,0.00210108215477656,nan,nan
b,0.405996992568529,0.0260476309468514,6.41572017124111
