parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
log10beta_pop,-7.30230720866279,,0.00249165032597949,0.0341214119699542,-7.30719,-7.29742
log10pi_pop,2.774860278579,,0.0113304358865092,0.408324555076753,2.75265,2.79707
log10rho_pop,-1.47225109598644,,0.0316732643079901,2.15134934484584,-1.53433,-1.41017
log10phi_pop,-4.99541241296761,,0.0386285254645084,0.773280007156816,-5.07112,-4.9197
delta_pop,1.64431385584821,,0.0333807217474223,2.03006996679493,1.58019,1.71104
m_pop,19.0863476364509,,0.765620348503785,4.01135074707333,17.6449,20.6455
tau_pop,8.33892779278855,,0.388330624256878,4.65684118997533,7.61264,9.13451
beta_tau_tCat_Cohort_0_G_NBA,0.162679887787871,,0.0343426086520698,21.1105436074872,0.0953696,0.22999
beta_tau_tCat_VaccStatus_G_Boosted_Five_dose_Fourth_dose_Second_dose,-0.00805663262891798,,0.0350238776192434,434.721045781966,-0.0767022,0.0605889
tzero_pop,1.57503094881503,,0.0939582697963073,5.96548720944161,1.401,1.76862
beta_tzero_tCat_Cohort_0_G_NBA,0.334344264138396,,0.0667146480803072,19.9538784528667,0.203586,0.465103
Vzero_pop,97,
Log10prf_pop,-0.789781247947617,,0.0996572722326725,12.6183386211877,-0.985106,-0.594457
beta_Log10prf_tCat_Cohort_G_NBA_PLATCOV_Panoramic,0.464039422626042,,0.125001608921908,26.9377132258532,0.219041,0.709038
omega_log10beta,0.0254500211804426,-0.348520275211799,0.00207197012837942,8.14132968176721,0.0217135,0.0298296
omega_log10pi,0.332885666785122,11.9964839078526,0.00846489865753423,2.54288469049595,0.316709,0.349889
omega_log10rho,0.788816891189318,-53.5789644402194,0.0273499884618857,3.46721638029956,0.737038,0.844234
omega_log10phi,1.16448602296134,-23.3111088073217,0.0320429479153356,2.75168162464064,1.10338,1.22898
omega_delta,0.519542825320046,55.6655976465611,0.0156195925924123,3.00641098889016,0.489833,0.551055
omega_m,0.545430366712657,58.862609532924,0.0325231548250937,5.96284270366404,0.48542,0.612859
omega_tau,0.412740882275871,43.0959106888588,0.0124923739151076,3.02668682739257,0.388984,0.437948
omega_tzero,0.476463892668449,44.2493139273884,0.0159557080134263,3.34877590074369,0.44622,0.508758
omega_Log10prf,0.536827929111442,-67.9717238800595,0.0403454111281109,7.51552013973837,0.463587,0.62164
corr_log10phi_delta,-0.0286695186355797,,0.0427446322737591,149.094349357899,-0.112052,0.0551136
corr_log10pi_delta,0.444755113179505,,0.0328127237553055,7.37770579425854,0.378213,0.506725
corr_log10pi_log10phi,0.249166034390462,,0.0346202587141062,13.8944534710753,0.180188,0.315705
corr_tau_log10rho,-0.430918481900897,,0.0376238127980274,8.73107429323027,-0.501704,-0.3544
a,0.4,
