parameter,value,CV,se_sa,rse_sa
log10beta_pop,-7.2817370882247,,0.00194599807558612,0.0267243660682696
log10pi_pop,2.75654470251989,,0.0110392499629947,0.40047418613974
log10rho_pop,-1.34120302509466,,0.0326340843163737,2.43319495302142
log10phi_pop,-4.99380640307413,,0.0378340162067135,0.757618801229927
delta_pop,1.72126451921965,,0.036735094100128,2.13419225749115
m_pop,19.5062704393699,,0.842379971748899,4.31850862709617
tau_pop,6.61581240271582,,0.31933583440185,4.82685745851501
beta_tau_tCat_Cohort_0_G_NBA,0.390614120725443,,0.0360245222005497,9.22253453962327
beta_tau_tCat_VaccStatus_G_Boosted_Five_dose_Fourth_dose_Second_dose,-0.032040989127827,,0.035591080399514,111.079842939692
tzero_pop,3.88742951048156,,0.129901384203555,3.34157529682034
beta_tzero_tCat_Cohort_0_G_NBA,-0.705003509997336,,0.0443865019542601,6.2959263783563
Vzero_pop,97,,,
Log10prf_pop,-0.928276964640077,,0.0713008413829126,7.68098790543168
beta_Log10prf_tCat_Cohort_G_NBA_PLATCOV_Panoramic,0.285125548012935,,0.0938505557610477,32.9155196421718
omega_log10beta,0.018156165251375,-0.24933837944706,0.00207284893779677,11.4167772164322
omega_log10pi,0.324342260654246,11.7662615940075,0.0081677148113436,2.51823946557816
omega_log10rho,0.865116831960345,-64.5030480675578,0.0291401179749912,3.36834481753869
omega_log10phi,1.13248118528217,-22.6777150308636,0.0310760019662343,2.7440634219889
omega_delta,0.537026784315555,57.8176386916691,0.0167575408732763,3.12042925282281
omega_m,0.599946782416997,65.8208088334981,0.0365847747035274,6.09800331891752
omega_tau,0.420905024273923,44.0253711297395,0.0123055684170146,2.92359741683819
omega_tzero,0.442901742953793,34.6632703916153,0.0137611954391559,3.10705380100336
omega_Log10prf,0.413590242624131,-44.5546166045921,0.0392687109819281,9.49459318304454
corr_log10phi_delta,-0.127035460705042,,0.0430748715485139,33.9077540313941
corr_log10pi_delta,0.408471467487253,,0.0326261857938514,7.98738428281275
corr_log10pi_log10phi,0.14832684925546,,0.0372437194812142,25.1092230895231
corr_tau_log10rho,-0.42200230678497,,0.0387419786296951,9.18051347274648
a,0.4,,,
