parameter,value,CV,se_sa,rse_sa
log10beta_pop,-7.29579217894906,,0.00306685237381632,0.0420359064320016
log10pi_pop,2.74100531017141,,0.0113391800183041,0.413686904444378
log10rho_pop,-1.43850202378376,,0.0353722743347415,2.45896590688835
log10phi_pop,-5.08616927013456,,0.0392071864183207,0.770858859309719
delta_pop,1.61990701111491,,0.0357682060115651,2.20804069407339
m_pop,17.9031817403048,,0.707028918524484,3.9491802562266
tau_pop,9.91811920792204,,0.323985513748212,3.2666023361509
beta_tau_tCat_Cohort_0_G_Panoramic_Panoramic_trtmnt,-0.0406145933559339,,0.0599163962590184,147.524304217278
beta_tau_tCat_VaccStatus_G_Boosted_Five_dose_Fourth_dose_Second_dose,-0.0378178831017433,,0.0352483020750847,93.2053811162685
tzero_pop,2.20207384572232,,0.0352117038624157,1.59902466172135
beta_tzero_tCat_Cohort_0_G_Panoramic_Panoramic_trtmnt,0.469464457394508,,0.0702569012844945,14.9653291485398
Vzero_pop,97,,,
Log10prf_pop,-0.655610492513443,,0.15048507077458,22.953426232954
beta_Log10prf_tCat_Cohort_G_NBA_Panoramic,-0.24897781953802,,0.175602122449945,70.5292233564325
omega_log10beta,0.0350227948414531,-0.480041015182783,0.00260400243083073,7.43516456244839
omega_log10pi,0.312640575446162,11.406055080813,0.00830217302940255,2.65550081513084
omega_log10rho,0.848245461574339,-58.9672762046701,0.0318436087016984,3.75405588879861
omega_log10phi,1.11790581494667,-21.9793277724927,0.0318249468415108,2.84683614809078
omega_delta,0.520179346233529,55.7434335785855,0.0170664445199772,3.28087699820273
omega_m,0.500391166311112,53.3411641200521,0.0336280214233648,6.72034673818701
omega_tau,0.404709619727456,42.1861079444161,0.0128660416917226,3.17907978080358
omega_tzero,0.449095075163789,39.770949128865,0.0138632855423175,3.08693777977001
omega_Log10prf,0.584453838771113,-89.1465047379682,0.0528941375278292,9.05018224177391
corr_log10phi_delta,-0.094903466796754,,0.0449772699548241,47.3926522106382
corr_log10pi_delta,0.37150040151541,,0.0366969247774578,9.87803098671363
corr_log10pi_log10phi,0.172972845009111,,0.037631933147949,21.755977446036
corr_tau_log10rho,-0.389113785078225,,0.0427753534832759,10.9930192976013
a,0.4,,,
